Country Name,Year,Inflation,Period
India,2018,3.94,Post
India,2019,3.73,Post
India,2020,6.62,Post
India,2021,5.13,Post
India,2022,6.70,Post
India,2023,5.65,Post
India,2024,4.95,Post
United Arab Emirates,2018,3.07,Post
United Kingdom,2018,2.29,Post
United States,2018,2.44,Post
United Arab Emirates,2019,-1.93,Post
United Kingdom,2019,1.74,Post
United States,2019,1.81,Post
United Arab Emirates,2020,-2.08,Post
United Kingdom,2020,0.99,Post
United States,2020,1.23,Post
United Arab Emirates,2021,0.18,Post
United Kingdom,2021,2.52,Post
United States,2021,4.70,Post
United Arab Emirates,2022,5.29,Post
United Kingdom,2022,7.92,Post
United States,2022,8.00,Post
United Arab Emirates,2023,1.63,Post
United Kingdom,2023,6.79,Post
United States,2023,4.12,Post
United Arab Emirates,2024,1.66,Post
United Kingdom,2024,3.27,Post
United States,2024,2.95,Post
China,2018,2.07,Post
China,2019,2.90,Post
China,2020,2.42,Post
China,2021,0.98,Post
China,2022,1.97,Post
China,2023,0.23,Post
China,2024,0.22,Post
Germany,2018,1.73,Post
Germany,2019,1.45,Post
Germany,2020,0.14,Post
Germany,2021,3.07,Post
Germany,2022,6.87,Post
Germany,2023,5.95,Post
Germany,2024,2.26,Post
